                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                0.51194,                0.39196,                0.94761,                0.89836,                0.79152,                0.86233,                0.69383,                0.82889,                0.73149,                 1.3265,              0.0089308,              0.0089308,              0.0089308
                    110,                0.49847,                0.39717,                0.94755,                0.93208,                0.81932,                0.87431,                0.71446,                0.74686,                0.71802,                 1.2013,              0.0089209,              0.0089209,              0.0089209
                    111,                0.51934,                0.39419,                0.94747,                0.93687,                0.80597,                0.87527,                0.72019,                0.80989,                0.70017,                 1.2899,               0.008911,               0.008911,               0.008911
                    112,                0.48695,                0.39231,                 0.9131,                0.85677,                0.80355,                0.83766,                0.66927,                  0.868,                0.96461,                 1.3915,              0.0089011,              0.0089011,              0.0089011
                    113,                 0.4661,                 0.4085,                0.91553,                0.87211,                0.73134,                0.81162,                0.62253,                 0.8472,                0.92649,                 1.3427,              0.0088912,              0.0088912,              0.0088912
                    114,                0.47341,                0.40365,                0.92191,                0.85712,                0.77612,                 0.8012,                 0.6552,                0.74616,                0.81008,                 1.2549,              0.0088813,              0.0088813,              0.0088813
                    115,                0.51779,                0.44529,                 0.9626,                0.87798,                0.76119,                0.83164,                0.64574,                0.77815,                0.80787,                 1.2433,              0.0088714,              0.0088714,              0.0088714
                    116,                0.43276,                0.35864,                0.90977,                0.89379,                0.73134,                0.83045,                0.66133,                 0.7546,                0.87893,                 1.2559,              0.0088615,              0.0088615,              0.0088615
                    117,                0.48039,                0.36405,                0.90343,                0.82399,                0.65672,                0.73932,                0.53732,                 1.0264,                 1.2408,                 1.4419,              0.0088516,              0.0088516,              0.0088516
                    118,                0.47952,                0.38958,                0.92198,                0.79504,                0.58209,                0.64423,                0.44307,                 1.1206,                 1.5961,                 1.5534,              0.0088417,              0.0088417,              0.0088417
                    119,                 0.4719,                 0.3826,                0.91745,                 0.9617,                0.79104,                0.85888,                0.64631,                 0.9213,                0.78987,                 1.3964,              0.0088318,              0.0088318,              0.0088318
                    120,                0.46454,                0.36235,                0.91618,                0.96203,                0.74627,                 0.8572,                0.65352,                0.89328,                0.81075,                 1.3703,              0.0088219,              0.0088219,              0.0088219
                    121,                0.49099,                0.39458,                0.92708,                0.93264,                0.82661,                0.87524,                0.64709,                0.83577,                0.77517,                 1.2903,               0.008812,               0.008812,               0.008812
                    122,                0.43706,                0.33772,                0.90342,                0.91243,                0.79104,                0.85917,                0.67375,                0.84056,                0.77325,                 1.3031,              0.0088021,              0.0088021,              0.0088021
                    123,                0.47401,                0.39668,                0.92778,                0.96026,                0.80597,                 0.8571,                0.67705,                0.81358,                0.81075,                 1.2768,              0.0087922,              0.0087922,              0.0087922
                    124,                0.45799,                 0.3627,                0.91535,                0.89561,                0.79104,                0.85364,                0.65861,                 0.8161,                0.83189,                 1.2489,              0.0087823,              0.0087823,              0.0087823
                    125,                0.46902,                0.38149,                0.90862,                0.91475,                0.86567,                 0.9025,                0.70321,                0.76685,                0.64438,                 1.2268,              0.0087724,              0.0087724,              0.0087724
                    126,                0.45683,                0.37214,                0.90954,                0.92831,                0.83582,                0.88694,                0.68233,                0.76377,                0.76572,                 1.1844,              0.0087625,              0.0087625,              0.0087625
                    127,                0.48725,                0.39993,                0.93113,                 0.9164,                 0.8806,                0.91803,                0.70702,                0.76839,                0.67301,                 1.2598,              0.0087526,              0.0087526,              0.0087526
                    128,                0.46361,                0.38647,                0.90372,                0.95094,                0.74627,                0.83965,                0.66548,                0.83789,                0.84419,                 1.3444,              0.0087427,              0.0087427,              0.0087427
                    129,                 0.4775,                0.38408,                0.94587,                0.89928,                 0.8209,                0.85605,                0.68119,                0.77411,                0.74184,                 1.2661,              0.0087328,              0.0087328,              0.0087328
                    130,                0.42108,                0.36275,                0.89203,                0.93693,                0.74627,                0.79353,                0.60241,                0.89764,                 0.9027,                 1.3152,              0.0087229,              0.0087229,              0.0087229
                    131,                0.47565,                0.38166,                0.94398,                0.88246,                0.80597,                0.87364,                0.68187,                0.79267,                0.75411,                 1.2194,               0.008713,               0.008713,               0.008713
                    132,                0.49623,                0.39212,                0.92331,                0.86117,                0.64179,                0.66227,                0.51795,                 1.0017,                 1.3703,                 1.4018,              0.0087031,              0.0087031,              0.0087031
